gene,SS0124_S14,SS0126_S16,SS0122_S12,SS0127_S17,SS0123_S13,SS0125_S15
NODE_2_length_141101_cov_626.108738_59,2600,0,0,2305,0,0
NODE_2_length_141101_cov_626.108738_60,5522,159,96,3115,286,154
NODE_2_length_141101_cov_626.108738_61,165,7,0,7,2,4
NODE_2_length_141101_cov_626.108738_62,6799,1102,395,5191,1461,691
NODE_2_length_141101_cov_626.108738_63,20918,3789,1489,12778,3723,4241
NODE_2_length_141101_cov_626.108738_64,1875,93,19,757,56,73
NODE_2_length_141101_cov_626.108738_65,53343,12,6,84764,49,33
NODE_2_length_141101_cov_626.108738_66,3124,2,6,1565,2,5
NODE_2_length_141101_cov_626.108738_67,198,0,0,0,0,0
NODE_2_length_141101_cov_626.108738_68,192,0,0,6,0,0
NODE_2_length_141101_cov_626.108738_69,18340,2082,777,16194,1872,2354
NODE_2_length_141101_cov_626.108738_70,7504,1124,403,10209,1825,2601
NODE_2_length_141101_cov_626.108738_71,3742,699,312,2185,1307,1994
NODE_2_length_141101_cov_626.108738_72,1877,0,0,2816,0,2
NODE_2_length_141101_cov_626.108738_73,8824,1876,630,9818,2514,2387
NODE_2_length_141101_cov_626.108738_74,27636,3606,1553,31639,3852,3936
NODE_2_length_141101_cov_626.108738_75,844,0,4,95,37,9
NODE_2_length_141101_cov_626.108738_76,6450,2388,873,5205,2253,2879
NODE_2_length_141101_cov_626.108738_77,883,0,0,292,0,0
NODE_2_length_141101_cov_626.108738_78,1349,18,0,626,7,2
NODE_2_length_141101_cov_626.108738_79,2139,10,0,1146,52,120
NODE_2_length_141101_cov_626.108738_80,6433,7375,2190,8067,6488,10896
NODE_2_length_141101_cov_626.108738_81,2686,134,60,1070,191,250
NODE_2_length_141101_cov_626.108738_82,7023,356,158,4027,492,582
NODE_2_length_141101_cov_626.108738_86,2835,0,6,1191,6,0
NODE_2_length_141101_cov_626.108738_87,1714,0,0,1000,0,10
NODE_2_length_141101_cov_626.108738_88,135445,14955,6809,133618,13769,16064
NODE_2_length_141101_cov_626.108738_89,54125,8021,4275,62327,9421,12351
NODE_2_length_141101_cov_626.108738_90,109977,14465,7148,124628,15613,20387
NODE_2_length_141101_cov_626.108738_91,692,0,0,470,0,2
NODE_2_length_141101_cov_626.108738_92,14629,2076,765,21449,3150,5339
NODE_2_length_141101_cov_626.108738_93,19719,16789,5031,31302,10804,8236
NODE_2_length_141101_cov_626.108738_94,21839,4852,1738,31754,6482,9380
NODE_2_length_141101_cov_626.108738_95,29999,3137,1160,56629,2479,3006
NODE_2_length_141101_cov_626.108738_96,25060,3791,907,36371,2518,2894
NODE_2_length_141101_cov_626.108738_97,4740,633,185,2437,709,852
NODE_2_length_141101_cov_626.108738_98,16399,1892,497,13284,1152,1369
NODE_2_length_141101_cov_626.108738_99,2941,49,40,2542,113,85
NODE_2_length_141101_cov_626.108738_100,1559,0,0,656,4,2
NODE_3_length_123736_cov_497.957641_1,533,0,0,245,0,0
NODE_3_length_123736_cov_497.957641_2,865,0,0,328,0,4
NODE_3_length_123736_cov_497.957641_3,5232,442,135,4188,797,912
NODE_3_length_123736_cov_497.957641_4,615,0,0,93,0,0
NODE_3_length_123736_cov_497.957641_5,101,0,0,0,0,0
NODE_3_length_123736_cov_497.957641_6,101,0,0,73,0,0
NODE_3_length_123736_cov_497.957641_7,7211,1044,366,8729,1198,1553
NODE_3_length_123736_cov_497.957641_8,19814,3764,1134,21844,4066,5177
NODE_3_length_123736_cov_497.957641_9,2423,112,13,2825,119,146
NODE_3_length_123736_cov_497.957641_10,13758,3292,1118,18272,5139,7430
NODE_3_length_123736_cov_497.957641_11,40569,9499,5004,46074,9124,10648
NODE_3_length_123736_cov_497.957641_12,551,0,6,154,2,0
NODE_3_length_123736_cov_497.957641_13,3606,653,220,1352,599,495
NODE_3_length_123736_cov_497.957641_14,5147,142,28,3047,143,171
NODE_3_length_123736_cov_497.957641_15,2002,0,0,658,0,0
NODE_3_length_123736_cov_497.957641_16,70,0,0,42,0,0
NODE_3_length_123736_cov_497.957641_17,20,0,0,11,0,0
NODE_3_length_123736_cov_497.957641_18,30,0,0,17,0,0
NODE_3_length_123736_cov_497.957641_19,539,0,0,159,0,0
NODE_3_length_123736_cov_497.957641_20,405,100,37,148,72,16
NODE_3_length_123736_cov_497.957641_21,522,5,6,186,4,58
NODE_3_length_123736_cov_497.957641_22,582,24,6,75,103,59
NODE_3_length_123736_cov_497.957641_23,5387,594,237,3041,661,652
NODE_3_length_123736_cov_497.957641_24,48139,4493,1831,48419,5763,7268
NODE_3_length_123736_cov_497.957641_25,3370,15,2,3789,74,116
NODE_3_length_123736_cov_497.957641_26,2453,154,52,2107,336,355
NODE_3_length_123736_cov_497.957641_27,32554,2103,812,22275,2325,2432
NODE_3_length_123736_cov_497.957641_28,1299,0,0,490,0,0
NODE_3_length_123736_cov_497.957641_29,947,2,0,293,2,0
NODE_3_length_123736_cov_497.957641_30,7706,0,2,2809,2,2
NODE_3_length_123736_cov_497.957641_31,1684,6,0,478,4,0
NODE_3_length_123736_cov_497.957641_32,4367,3717,1584,3467,5241,5051
NODE_3_length_123736_cov_497.957641_33,11625,2023,740,7052,2889,4134
NODE_3_length_123736_cov_497.957641_34,20645,382,24,29871,278,267
NODE_3_length_123736_cov_497.957641_35,42290,1816,611,70586,2461,3792
NODE_3_length_123736_cov_497.957641_36,22869,9238,3040,31797,8046,8366
NODE_3_length_123736_cov_497.957641_37,5910,757,187,4926,941,1625
NODE_3_length_123736_cov_497.957641_38,17062,868,285,24302,948,1238
NODE_3_length_123736_cov_497.957641_39,15159,851,312,21100,923,800
NODE_3_length_123736_cov_497.957641_40,45614,5790,1970,64970,5294,3610
NODE_3_length_123736_cov_497.957641_41,5494,2537,875,6187,3722,5589
NODE_3_length_123736_cov_497.957641_42,2976,164,45,1452,240,378
NODE_3_length_123736_cov_497.957641_43,930,0,0,333,4,0
NODE_3_length_123736_cov_497.957641_44,3624,174,119,1696,256,263
NODE_3_length_123736_cov_497.957641_45,539,4,4,135,0,0
NODE_3_length_123736_cov_497.957641_46,795,0,0,147,6,0
NODE_3_length_123736_cov_497.957641_47,1232,0,6,397,10,0
NODE_3_length_123736_cov_497.957641_48,950,11,4,447,32,82
NODE_3_length_123736_cov_497.957641_49,805,11,4,506,45,115
NODE_3_length_123736_cov_497.957641_50,4385,124,22,2070,143,207
NODE_3_length_123736_cov_497.957641_51,11265,539,115,9512,839,970
NODE_3_length_123736_cov_497.957641_52,97385,62430,23419,146437,42801,49631
NODE_3_length_123736_cov_497.957641_53,194545,31630,11979,326794,37991,37914
