"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant"
"NODE_117235_length_111_cov_807.767857_1",7.99876527644966,5.8925915933251,2.8786222347011,2.04701802212577,0.0406563150623991,0.0678358564389895,NA
"NODE_117237_length_111_cov_766.375000_1",4.07694375312754,4.92054292367716,3.83710319179573,1.28235876851005,0.199716820978495,0.269955671012918,NA
"NODE_117238_length_111_cov_760.000000_1",1.11286728815559,3.04746850423726,4.08811171090003,0.745446484769942,0.456001851305796,NA,NA
"NODE_117240_length_111_cov_710.767857_1",21.7377839777164,7.3350298817986,1.97420751206315,3.71543003305316,0.000202858394036865,0.000539109234874494,"Significant"
"NODE_117242_length_111_cov_693.785714_1",1.14376162524968,3.08648712668503,4.08790782667984,0.755028551901534,0.450231850890616,NA,NA
"NODE_117243_length_111_cov_692.196429_1",1.05296842167249,2.96792124851956,4.08854481085165,0.72591139043951,0.46789309327368,NA,NA
"NODE_117245_length_111_cov_605.232143_1",7.88779351558495,5.87242784841216,2.89582944393604,2.02789147707204,0.0425713251958468,0.0706075240809472,NA
"NODE_117247_length_111_cov_600.517857_1",5.68602398144922,5.40029476548627,3.27668960072524,1.64809470030088,0.0993332396773045,0.148622466928386,NA
"NODE_117248_length_111_cov_586.214286_1",9.71441458380194,6.17305212850851,2.67618502224283,2.30666119016504,0.021073715421987,0.0378192345226715,"Significant"
"NODE_117250_length_111_cov_567.035714_1",75.2455015126048,9.12637804220904,1.41757456965041,6.43802325295642,1.21039460890629e-10,6.94709461824913e-10,"Significant"
"NODE_117259_length_111_cov_511.107143_1",116.657365808017,9.75899484747445,1.3075951458808,7.46331529160025,8.43721250480445e-14,6.23367175202262e-13,"Significant"
"NODE_117263_length_111_cov_492.625000_1",13.5265242180627,6.6505333486106,2.36720576375503,2.8094445571394,0.00496270661401944,0.0102162015319481,"Significant"
"NODE_117264_length_111_cov_487.392857_1",0.986763326694677,2.87399759653382,4.08908782816337,0.702845650988299,0.482151944221721,NA,NA
"NODE_117265_length_111_cov_482.535714_1",6.20675385886011,1.10474575895454,2.32627746767735,0.474898533947269,0.634859296451254,0.694400421528584,NA
"NODE_117269_length_111_cov_470.125000_1",3.56558487340975,4.72688245402553,3.92982331500882,1.20282314880992,0.229044764775455,0.304159664892374,NA
"NODE_117273_length_111_cov_453.035714_1",4.78185782213194,5.1503939870806,3.50145366930685,1.47093021170838,0.141309991257703,0.201791049998081,NA
"NODE_117278_length_111_cov_433.392857_1",4.62990588026826,5.10391479629882,3.55859471980598,1.43425008975934,0.151500907579056,0.214007037783095,NA
"NODE_117279_length_111_cov_432.553571_1",6.29258561605608,5.54657882533902,3.16131800099523,1.75451467507947,0.0793423575738206,0.122701687959368,NA
"NODE_117285_length_111_cov_413.410714_1",3.72738046028497,3.13286781093363,2.53779162445511,1.23448583435462,0.217021922059155,0.290379995903107,NA
"NODE_117287_length_111_cov_402.375000_1",22.0944803269841,5.97962318715723,1.80632793668831,3.31037519029914,0.000931709927748339,0.00220788915707954,"Significant"
"NODE_117291_length_111_cov_386.232143_1",12.5372411477613,6.54097329635306,2.42952960641376,2.69227972323754,0.00709653970960587,0.0141646397268347,"Significant"
"NODE_117298_length_111_cov_362.232143_1",14.7018238552637,6.77085662189119,2.28907629907596,2.95789905501376,0.00309743539052473,0.00666310605985083,"Significant"
"NODE_117317_length_111_cov_305.660714_1",122.65168948555,9.83127228935422,1.32248791135563,7.43392223470427,1.05423963547766e-13,7.74847829304627e-13,"Significant"
"NODE_117319_length_111_cov_302.785714_1",32.6331538828791,7.92115505998803,1.71942849953483,4.60685341794149,4.0880796504179e-06,1.39910147130511e-05,"Significant"
"NODE_117320_length_111_cov_302.339286_1",14.520867384011,6.75301271694741,2.31172284024254,2.92120344160241,0.00348682056594838,0.00739922549671301,"Significant"
"NODE_117323_length_111_cov_296.875000_1",2.67592097878697,4.31263862539964,4.08364729012534,1.0560751992044,0.290933860067875,0.368818235244003,NA
"NODE_117339_length_111_cov_267.928571_1",1.60152099750133,3.57271870955861,4.08577934158876,0.874427718891289,0.381885367535348,0.455283498580933,NA
"NODE_117340_length_111_cov_265.553571_1",6.02302208121806,3.11064711642263,2.7808525844235,1.11859475538057,0.26331306191994,0.340897812733354,NA
