Station,Latitude,Longitude,T,Sal,Si,NO3,Phos,Fe,SI_NO3,SI_T
188SUR,78.2518,91.8557,0.454789996,31.75008965,0,0.232418388,0.068514891,0.002032225,0.292201743,0.234717996
189DCM,77.9028,117.1545,-1.371809959,33.68358994,1.739587545,0.197071388,0.49867332,0.000891451,0.22205434,0.032885256
189SUR,77.9028,117.1545,1.024410009,31.21650887,4.485186577,0.258514673,0.319345206,0.001925303,0.028250298,0.201075323
18DCM,35.7606,14.2522,17.69511032,38.05990982,1.243225694,0,0.017355841,0.001221923,0.040204302,0.193199369
18SUR,35.7606,14.2522,21.15501022,38.09379959,2.567142725,0.096938401,0.01806391,0.001813376,0.183906805,0.833252369
191SUR,71.5948,160.9381,0.915809989,20.79550934,7.195093632,0.180559501,1.117129326,0.0030569,0.008579885,0.164998015
193SUR,71.0704,174.9917,0.676490009,27.96800995,4.348714828,0.282853425,0.729804039,0.002091648,0.908286992,0.378212773
194DCM,73.3833,-168.1333,-0.5528,30.80928993,14.65518856,4.305442333,1.254920125,0.001299023,0.401174501,0.180888355
194SUR,73.3833,-168.1333,1.558899999,27.53931046,7.168681622,0.216212705,0.585858464,0.001524318,0.452908591,0.239946778
196SUR,71.8895,-154.9101,3.908299923,27.83279037,6.415495872,0.190064654,0.40934056,0.002126,0.108446832,0.397845697
19SUR,34.2116,13.7684,21.69559097,38.17889023,2.788587093,0.243839115,0.009629517,0.001905747,0.220955212,0.816968703
205SUR,72.4693,-71.892,-0.674799979,32.00531006,3.367505074,1.783859253,0.477604955,0.001234464,0.362042682,0.505013728
206SUR,70.9618,-53.603,1.836218337,33.04488881,4.148955623,2.051271707,0.078187463,0.001517417,0.143868207,0.301802195
208SUR,69.1136,-51.5086,2.525909901,33.51551056,4.700489521,1.983524203,0,0.001528944,0.438031906,0.472166611
209SUR,64.7127,-53.0106,2.87270999,32.50061035,0.811051667,3.158128262,0.503199756,0.001130419,0.348500539,0.490211821
20SUR,34.453,14.9538,21.92280006,38.19939041,2.359421492,0.218008488,0.007442735,0.001787754,0.204760859,0.851489779
210SUR,61.5442,-55.9865,5.389500141,34.03078842,2.540239334,3.314998388,0.564203858,0.000527062,0.49153126,0.506322893
21SUR,37.5057,17.2174,19.88999939,38.50180054,1.584209442,0.088123187,0.023816079,0.001458054,0.086056248,0.912222034
22DCM,39.5705,17.4101,16.02333037,38.5563736,2.017311215,0.352615565,0.003827223,0.001156228,0.143868207,0.301802195
22SUR,39.5705,17.4101,19.01353073,38.6703008,1.306006273,0.099013142,0.009544172,0.001888404,0.143868207,0.301802195
23DCM,42.1735,17.7252,15.01559353,38.78560384,2.510272503,1.612364411,0.07124007,0.001389424,0.143868207,0.301802195
23SUR,42.1735,17.7252,17.34830348,38.73410797,2.937697689,0.255865261,0.070140844,0.002704573,0.143868207,0.301802195
24SUR,42.4552,17.9348,17.34830348,38.73410797,2.937697689,0.255865261,0.070140844,0.002704573,0.143868207,0.301802195
25DCM,39.3888,19.3905,16.48480988,38.64408875,1.715333462,0.164543346,0,0.001262467,0.044404864,0.214600914
25SUR,39.3888,19.3905,18.6266098,38.55049896,1.346709371,0.356013089,0.014549278,0.002035659,0.050523239,0.842746515
26SUR,38.425,20.1913,19.59930992,38.40151215,1.996222854,0.063479818,0.069999196,0.001881589,0.04979628,0.809146267
30DCM,33.9178,32.8872,18.76918983,39.16578674,1.829621553,0.243846878,0.104976535,0.001092935,0.016007942,0.150730803
30SUR,33.9178,32.8872,20.18350983,39.26631165,1.699661016,0.174666181,0.163139686,0.001519748,0.018291699,0.799059543
31SUR,27.145,34.8067,22.48499107,40.30398941,0.984557688,0.157334849,0.141222104,0.00114649,0.143868207,0.301802195
32DCM,23.36,37.2183,24.22620964,39.92279816,3.001905441,1.461885095,0.153749019,0.001024562,0.105761066,0.096234804
32SUR,23.36,37.2183,24.80480957,39.42818832,1.055179119,0.193406865,0.018386966,0.001034937,0.01030235,0.507792845
33SUR,22.025,38.2333,25.95149994,39.10741043,1.087360501,0.204646721,0.098288827,0.00123992,0.011707623,0.494780802
34DCM,18.3967,39.875,26.65579987,38.57928848,2.935868263,2.527164459,0.427256823,0.001089425,0.286450851,0.239137525
34SUR,18.3967,39.875,26.41419983,38.20211029,2.472040653,0.103353538,0.13446112,0.001709334,0.03481711,0.439186362
36DCM,20.8222,63.5133,25.45659065,36.45911026,1.874127984,1.480961204,0.399761796,0.001154433,0.2699203,0.332249879
36SUR,20.8222,63.5133,25.88459015,36.47291183,1.882811189,1.428789735,0.392678976,0.001321966,0.143868207,0.339823113
38DCM,19.0351,64.5638,25.59770012,36.45231247,1.916131973,1.080006599,0.364547104,0.000659201,0.188522108,0.325885084
38SUR,19.0351,64.5638,26.15309906,36.45711136,1.967774868,0.937685251,0.353861302,0.001321966,0.152919082,0.326315454
39DCM,18.5839,66.4727,26.13239098,36.39809036,2.319657803,0.687627912,0.314644784,0.000891176,0.126639081,0.294703525
39SUR,18.5839,66.4727,26.52589035,36.35591125,2.509373188,0.388178676,0.296142757,0.001419843,0.137630496,0.296568742
41DCM,14.6059,69.9776,26.67918968,36.34410095,2.740885735,2.911904812,0.459375322,0.000844039,0.646920211,0.204171998
41SUR,14.6059,69.9776,28.10489082,35.78939819,2.687141418,0.130560189,0.216682822,0.001429959,0.030322455,0.200084666
42DCM,6.0001,73.8955,26.12769127,35.35651016,6.293056011,18.10989952,0.631776273,0.000832601,0.855042835,0.408143659
42SUR,6.0001,73.8955,29.99079132,34.44208908,1.943358898,0.159651786,0.165170491,0.001189957,0.018551593,0.159672244
43SUR,4.6599,73.4856,29.93520927,34.46788788,2.525277853,0.249967903,0.163909882,0.001097129,0.024332972,0.144146571
45SUR,0.0033,71.6428,29.92989922,35.01850128,5.182582378,0.201755166,0.24202314,0.000611167,0.012557932,0.108791522
46SUR,-0.6625,73.161,29.80240059,34.9659996,4.083867073,0.313943267,0.246241763,0.000585419,0.020364583,0.098740627
47DCM,-2.0465,72.1568,26.78071022,35.25778961,6.915472031,0.532373428,0.400445133,0.000926903,0.25535409,0.095057315
47SUR,-2.0465,72.1568,29.67430878,34.92078781,5.837580204,0.23682192,0.248985648,0.000519545,0.025351193,0.112372364
48SUR,-9.3921,66.4228,29.08341026,34.37548828,2.638029575,0.066947974,0.142633185,0.000315144,0.037844286,0.19150361
49SUR,-16.8084,59.5043,28.21549034,34.83951187,2.439771414,0.020191547,0.270349741,0.000265832,0.046481332,0.301802195
4DCM,36.5533,-6.5669,18.10350037,36.28441238,0.440574646,2.532777071,0.193532839,0.000845236,0.301593165,0.23720065
4SUR,36.5533,-6.5669,21.48069,36.47778702,0.066745058,0.896255076,0.075940646,0.001114517,0.341482295,0.462999973
