,Trichodesmium thiebautii Atlantic-pop,Trichodesmium thiebautii Indian-pop,Trichodesmium erythraeum,Trichodesmium miru,Trichodesmium nobis
146SUR1QQSS11,0,0,0,0,0
147SUR1GGMM11,0,0,0,0,0
147SUR1GGZZ11,0,0,0,0,0
147SUR1QQSS11,0,0,0,0,0
147SUR1SSUU11,0,0,0,0,0
147SUR2MMQQ11,0,0,0,0,0
148SUR0CCKK11,0,0,0,0,0
148SUR1GGMM11,0,0,0,0,0
148SUR1GGZZ11,0,0,0,0,0
148SUR1MMQQ11,0,0,0,0,0
149SUR0CCKK11,0,0,0,0,0
149SUR1GGMM11,0,0,0,0,0
149SUR1GGZZ11,0,0,0,0,0
149SUR1MMQQ11,0,0,0,0,0
149SUR1SSUU11,0,0,0,0,0
14SUR1QQSS11,0,0,0,0,0
150DCM0CCKK11,0,0,0,0,0
150DCM1GGMM11,0,0,0,0,0
150DCM1GGZZ11,0,0,0,0,0
150DCM1MMQQ11,0,0,0,0,0
150DCM1QQSS11,0,0,0,0,0
150DCM1SSUU11,0,0,0,0,0
150SUR0CCKK11,0,0,0,0,0
150SUR1GGMM11,0,0,0,0,0
150SUR1GGZZ11,0,0,0,0,0
150SUR1MMQQ11,0,0,0,0,0
150SUR1QQSS11,0,0,0,0,0
150SUR1SSUU11,0,0,0,0,0
151DCM01QQSS11,0,0,0,0,0
151DCM01SSUU11,0,0,0,0,0
151DCM0CCKK11,0,0,0,0,0
151DCM1GGMM11,0,0,0,0,0
151DCM1GGZZ11,0,0,0,0,0
151SUR0CCKK11,0,0,0,0,0
151SUR1GGMM11,0,0,0,0,0
151SUR1GGZZ11,0,0,0,0,0
151SUR1MMQQ11,0,0,0,0,0
151SUR1QQSS11,0,0,0,0,0
151SUR1SSUU11,0,0,0,0,0
152SUR0CCKK11,0,0,0,0,0
152SUR1GGMM11,0,0,0,0,0
152SUR1GGZZ11,0,0,0,0,0
152SUR1MMQQ11,0,0,0,0,0
152SUR1QQSS11,0,0,0,0,0
155DCM0CCKK11,0,0,0,0,0
155DCM1GGZZ11,0,0,0,0,0
155DCM1KKQQ11,0,0,0,0,0
155DCM1QQSS11,0,0,0,0,0
155DCM1SSUU11,0,0,0,0,0
155DCM2KKQQ11,0,0,0,0,0
155SUR0CCKK11,0,0,0,0,0
155SUR1GGZZ11,0,0,0,0,0
155SUR1KKQQ11,0,0,0,0,0
155SUR2KKQQ11,0,0,0,0,0
155SUR2QQSS11,0,0,0,0,0
158DCM0CCKK11,0,0,0,0,0
158DCM1GGZZ11,0,0,0,0,0
158DCM1KKQQ11,0,0,0,0,0
158DCM1QQSS11,0,0,0,0,0
158DCM1SSUU11,0,0,0,0,0
158SUR0CCKK11,0,0,0,0,0
158SUR1GGZZ11,0,0,0,0,0
158SUR1KKQQ11,0,0,0,0,0
158SUR1SSUU11,0,0,0,0,0
158SUR2QQSS11,0,0,0,0,0
163SUR0CCKK11,0,0,0,0,0
163SUR1GGZZ11,0,0,0,0,0
163SUR1KKQQ11,0,0,0,0,0
163SUR1SSUU11,0,0,0,0,0
168DCM0CCKK11,0,0,0,0,0
168DCM1GGZZ11,0,0,0,0,0
168DCM1KKQQ11,0,0,0,0,0
168DCM1QQSS11,0,0,0,0,0
168DCM1SSUU11,0,0,0,0,0
168SUR0CCKK11,0,0,0,0,0
168SUR1GGZZ11,0,0,0,0,0
168SUR1KKQQ11,0,0,0,0,0
168SUR1QQSS11,0,0,0,0,0
168SUR1SSUU11,0,0,0,0,0
16DCM1GGMM11,0,0,0,0,0
16SUR2GGMM11,0,0,0,0,0
173DCM0CCKK11,0,0,0,0,0
173DCM1GGZZ11,0,0,0,0,0
173DCM1KKQQ11,0,0,0,0,0
173DCM1SSUU11,0,0,0,0,0
173SUR0CCKK11,0,0,0,0,0
173SUR1GGZZ11,0,0,0,0,0
173SUR1KKQQ11,0,0,0,0,0
173SUR1QQSS11,0,0,0,0,0
173SUR1SSUU11,0,0,0,0,0
175DCM1GGZZ11,0,0,0,0,0
175DCM1KKQQ11,0,0,0,0,0
175SUR0CCKK11,0,0,0,0,0
175SUR1GGZZ11,0,0,0,0,0
175SUR1KKQQ11,0,0,0,0,0
175SUR1QQSS11,0,0,0,0,0
175SUR1SSUU11,0,0,0,0,0
178SUR0CCKK11,0,0,0,0,0
178SUR1GGZZ11,0,0,0,0,0
178SUR1KKQQ11,0,0,0,0,0
178SUR1QQSS11,0,0,0,0,0
178SUR1SSUU11,0,0,0,0,0
17DCM1QQSS11,0,0,0,0,0
17SUR1QQSS11,0,0,0,0,0
180DCM1GGZZ11,0,0,0,0,0
180DCM1KKQQ11,0,0,0,0,0
180DCM1QQSS11,0,0,0,0,0
180DCM1SSUU11,0,0,0,0,0
180SUR0CCKK11,0,0,0,0,0
180SUR1GGZZ11,0,0,0,0,0
180SUR1KKQQ11,0,0,0,0,0
180SUR1QQSS11,0,0,0,0,0
180SUR1SSUU11,0,0,0,0,0
188DCM0CCKK11,0,0,0,0,0
188DCM1GGZZ11,0,0,0,0,0
188DCM1KKQQ11,0,0,0,0,0
188DCM1QQSS11,0,0,0,0,0
188DCM1SSUU11,0,0,0,0,0
188SUR0CCKK11,0,0,0,0,0
188SUR1GGZZ11,0,0,0,0,0
188SUR1KKQQ11,0,0,0,0,0
188SUR1QQSS11,0,0,0,0,0
188SUR1SSUU11,0,0,0,0,0
189DCM0CCKK11,0,0,0,0,0
189DCM1GGZZ11,0,0,0,0,0
189DCM1KKQQ11,0,0,0,0,0
189DCM1QQSS11,0,0,0,0,0
189DCM1SSUU11,0,0,0,0,0
189SUR0CCKK11,0,0,0,0,0
189SUR1GGZZ11,0,0,0,0,0
189SUR1KKQQ11,0,0,0,0,0
189SUR1QQSS11,0,0,0,0,0
189SUR1SSUU11,0,0,0,0,0
18DCM0CCII11,0,0,0,0,0
18DCM1GGMM11,0,0,0,0,0
18DCM1QQSS11,0,0,0,0,0
18DCM1SSUU11,0,0,0,0,0
18SUR0CCII11,0,0,0,0,0
18SUR1GGMM11,0,0,0,0,0
18SUR1QQSS11,0,0,0,0,0
191SUR0CCKK11,0,0,0,0,0
191SUR1QQSS11,0,0,0,0,0
191SUR1SSUU11,0,0,0,0,0
191SUR2GGZZ11,0,0,0,0,0
191SUR2KKQQ11,0,0,0,0,0
193SUR0CCKK11,0,0,0,0,0
193SUR1GGZZ11,0,0,0,0,0
193SUR1KKQQ11,0,0,0,0,0
193SUR1QQSS11,0,0,0,0,0
193SUR1SSUU11,0,0,0,0,0
194DCM0CCKK11,0,0,0,0,0
194DCM1GGZZ11,0,0,0,0,0
194DCM1KKQQ11,0,0,0,0,0
194DCM1QQSS11,0,0,0,0,0
194DCM1SSUU11,0,0,0,0,0
194SUR0CCKK11,0,0,0,0,0
194SUR1GGZZ11,0,0,0,0,0
194SUR1KKQQ11,0,0,0,0,0
194SUR1SSUU11,0,0,0,0,0
194SUR2QQSS11,0,0,0,0,0
196SUR0CCKK11,0,0,0,0,0
196SUR1GGZZ11,0,0,0,0,0
196SUR1KKQQ11,0,0,0,0,0
196SUR1QQSS11,0,0,0,0,0
196SUR1SSUU11,0,0,0,0,0
19SUR1GGMM11,0,0,0,0,0
19SUR1QQSS11,0,0,0,0,0
19SUR1SSUU11,0,0,0,0,0
201DCM0CCKK11,0,0,0,0,0
201DCM1GGZZ11,0,0,0,0,0
201DCM1KKQQ11,0,0,0,0,0
201DCM1QQSS11,0,0,0,0,0
201DCM1SSUU11,0,0,0,0,0
201SUR0CCKK11,0,0,0,0,0
201SUR1GGZZ11,0,0,0,0,0
201SUR1KKQQ11,0,0,0,0,0
201SUR1QQSS11,0,0,0,0,0
201SUR1SSUU11,0,0,0,0,0
205SUR0CCKK11,0,0,0,0,0
205SUR1GGZZ11,0,0,0,0,0
205SUR1KKQQ11,0,0,0,0,0
205SUR1QQSS11,0,0,0,0,0
205SUR1SSUU11,0,0,0,0,0
206SUR0CCKK11,0,0,0,0,0
206SUR1GGZZ11,0,0,0,0,0
