cds_id,SS0122_S12,SS0126_S16,SS0123_S13,SS0125_S15,SS0124_S14,SS0127_S17
SHDOJQCQ_CDS_0015,0.04764466067416176,0.014874801588903488,0.08416482077269144,0.015497701612522017,133.59973065888565,183.76283214360618
SHDOJQCQ_CDS_0016,0.5698828513999349,0.07625103562989334,0.27804215899514373,0.04413563250929996,42.919340380148995,38.441085802994316
SHDOJQCQ_CDS_0017,0.07714454885570665,0.024084752449846196,0.1362766999734734,0.8280798942690819,32.34171390561596,19.865913409657047
SHDOJQCQ_CDS_0018,0.061685326884622006,0.0192583384029222,0.021793562628370792,0.020064804248825167,22.356791729547158,13.08020298106224
SHDOJQCQ_CDS_0019,0.0445991923072054,0.3480999377516833,0.39392483586082155,0.3626770370259947,21.987112788684282,16.6467704888155
SHDOJQCQ_CDS_0020,0.14016889010835984,0.21880567515820087,0.049521979365360416,0.04559368465469647,64.58663741906349,54.40420578357072
SHDOJQCQ_CDS_0021,0.27015342491247935,0.15931396003870532,0.010605089271358253,0.24409620847638644,84.6539032647107,112.27519148188551
SHDOJQCQ_CDS_0022,0.07888902357857437,0.41869950301629594,0.0278716667784943,0.025660767242844242,157.60700504120038,235.72739311175937
SHDOJQCQ_CDS_0023,0.06855421699622838,1.1343497709511619,0.8961531986465221,0.022299094678279494,31.47198439831886,16.576975240498133
SHDOJQCQ_CDS_0024,0.05547320032556997,0.3636967830191438,0.17638924099040035,0.09022071875134285,38.11779168751749,20.7055237175373
SHDOJQCQ_CDS_0025,0.07234523360431476,0.655005375957453,0.025559731285347314,0.21179001904117073,36.892411699621164,18.74963043803571
SHDOJQCQ_CDS_0026,0.9536724485877192,0.5725755985448248,0.3369345885792746,0.2147590379996918,32.807250846609215,24.10672759332924
SHDOJQCQ_CDS_0027,0.08328337237207586,0.23401179900208646,0.029424199941222105,0.24381132165482253,50.87258185763018,64.06486622927609
SHDOJQCQ_CDS_0028,0.026927814223218355,0.008406941892870841,0.009513656413242482,0.008758992592325909,5.125177834614704,9.026870342584255
SHDOJQCQ_CDS_0029,0.01497988138562624,0.04209086270218826,0.005292425275687372,0.004872607520349241,26.980910507316946,23.956443922582018
SHDOJQCQ_CDS_0030,0.08134153208360777,0.0253950628162886,0.028738143465908632,0.026458511302207277,58.03072013071959,77.2304546050232
SHDOJQCQ_CDS_0031,0.07547555621219375,0.023563688093960096,0.2399911307705928,0.5155593572492602,44.05566471462409,44.768595649706555
SHDOJQCQ_CDS_0032,0.7497311401454384,0.00709297702394168,0.008026717350101834,0.007390003880356014,25.261049868958896,27.543486979374013
